Rank,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2020),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories
825,21101019779,Cybersecurity,journal,"20964862, 25233246","0,374",Q2,8,20,39,1220,167,39,4.28,61,United Kingdom,Western Europe,Springer Open,2018-2020,Computer Networks and Communications (Q2); Information Systems (Q2); Software (Q2); Artificial Intelligence (Q3)
826,19513,International Journal of Network Management,journal,"10557148, 10991190","0,373",Q2,28,54,107,2448,247,99,1.82,45.33,United Kingdom,Western Europe,John Wiley and Sons Ltd,1991-2020,Computer Networks and Communications (Q2); Computer Science Applications (Q3)
827,26132,Journal of Computer Science and Technology,journal,"18604749, 10009000","0,373",Q2,48,92,277,3717,716,269,2.58,40.4,United States,Northern America,Springer New York,1986-2020,Hardware and Architecture (Q2); Software (Q2); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Theoretical Computer Science (Q3)
828,21100201313,Mathematical and Computational Forestry and Natural-Resource Sciences,journal,19467664,"0,373",Q3,12,8,28,319,24,28,1.09,39.88,United States,Northern America,,2009-2019,Forestry (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3); Environmental Engineering (Q3)
829,19700186849,International Journal of Ambient Computing and Intelligence,journal,"19416245, 19416237","0,372",Q2,18,11,68,441,203,68,2.33,40.09,United States,Northern America,IGI Global Publishing,"2009-2014, 2016-2020",Software (Q2)
830,13622,SIGMOD Record,journal,1635808,"0,372",Q2,142,39,81,808,127,57,1.67,20.72,United States,Northern America,Association for Computing Machinery (ACM),"1969, 1973-1978, 1981-2020",Information Systems (Q2); Software (Q2)
831,21100821307,Applied Computational Intelligence and Soft Computing,journal,"16879724, 16879732","0,371",Q2,10,11,44,570,122,42,2.84,51.82,Egypt,Africa/Middle East,Hindawi Limited,2016-2020,Computational Mechanics (Q2); Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Civil and Structural Engineering (Q3); Computer Science Applications (Q3)
832,24208,Genetic Programming and Evolvable Machines,journal,"13892576, 15737632","0,371",Q2,41,31,69,1537,143,58,2.44,49.58,United States,Northern America,Springer New York,2003-2020,Software (Q2); Computer Science Applications (Q3); Hardware and Architecture (Q3); Theoretical Computer Science (Q3)
833,21100403130,Journal of Logical and Algebraic Methods in Programming,journal,"23522208, 23522216","0,371",Q2,18,36,190,1583,306,174,1.69,43.97,Netherlands,Western Europe,Elsevier BV,2014-2020,Cultural Studies (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Software (Q2); Computational Theory and Mathematics (Q3); Logic (Q3); Theoretical Computer Science (Q3)
834,21100205112,Journal of software: Evolution and Process,journal,20477481,"0,371",Q3,29,76,212,4314,621,198,2.76,56.76,United Kingdom,Western Europe,John Wiley and Sons Ltd,2012-2020,Software (Q3)
835,19400157014,Journal on Computing and Cultural Heritage,journal,"15564711, 15564673","0,371",Q2,25,36,79,1734,224,74,2.79,48.17,United States,Northern America,Association for Computing Machinery (ACM),2008-2020,Conservation (Q1); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q3); Information Systems (Q3)
836,12984,Machine Vision and Applications,journal,"14321769, 09328092","0,370",Q2,68,72,240,3225,633,236,2.59,44.79,Germany,Western Europe,Springer Verlag,1988-2020,Computer Vision and Pattern Recognition (Q2); Computer Science Applications (Q3); Hardware and Architecture (Q3); Software (Q3)
837,23670,Annals of Mathematics and Artificial Intelligence,journal,"15737470, 10122443","0,369",Q3,55,60,129,2272,213,118,1.55,37.87,Netherlands,Western Europe,Springer Netherlands,1990-2020,Applied Mathematics (Q3); Artificial Intelligence (Q3)
838,5800207702,Interaction Studies,journal,"15720381, 15720373","0,368",Q3,37,19,77,1119,88,75,1.02,58.89,Netherlands,Western Europe,John Benjamins Publishing Company,2004-2020,Language and Linguistics (Q1); Linguistics and Language (Q1); Communication (Q2); Animal Science and Zoology (Q3); Human-Computer Interaction (Q3)
839,12763,International Journal of Technology Management,journal,"17415276, 02675730","0,368",Q3,57,41,112,2162,195,111,1.44,52.73,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,"1986-1989, 1996-2014, 2020",Engineering (miscellaneous) (Q2); Industrial Relations (Q2); Law (Q2); Computer Science Applications (Q3); Strategy and Management (Q3)
840,18100156704,"International Review of Law, Computers and Technology",journal,"13600869, 13646885","0,367",Q3,12,25,56,1623,66,50,0.94,64.92,United Kingdom,Western Europe,Routledge,"1984, 1986-1987, 1989, 1991-1995, 2009-2020",Law (Q2); Computer Science Applications (Q3)
841,4700152484,Journal of Systems Science and Systems Engineering,journal,10043756,"0,367",Q3,27,39,124,1469,202,118,1.46,37.67,Germany,Western Europe,Springer Verlag,2005-2020,Control and Systems Engineering (Q2); Information Systems (Q3)
842,24980,Formal Aspects of Computing,journal,"09345043, 1433299X","0,366",Q3,42,16,100,658,139,89,1.66,41.13,United Kingdom,Western Europe,Springer London,1989-2020,Software (Q3); Theoretical Computer Science (Q3)
843,17974,In Silico Biology,journal,"13866338, 14343207","0,366",Q3,47,3,7,120,16,7,3,40,Netherlands,Western Europe,IOS Press,"1998-1999, 2002-2012, 2015, 2017, 2019-2020",Computational Mathematics (Q3); Computational Theory and Mathematics (Q3); Medicine (miscellaneous) (Q3); Genetics (Q4); Molecular Biology (Q4)
844,19900193674,Applied Ontology,journal,"18758533, 15705838","0,365",Q2,29,19,46,1002,89,44,2.31,52.74,Netherlands,Western Europe,IOS Press,2005-2020,Language and Linguistics (Q1); Linguistics and Language (Q1); Computer Science (miscellaneous) (Q2)
845,24185,Expert Systems,journal,"14680394, 02664720","0,365",Q3,38,151,248,6761,636,232,2.64,44.77,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1984-2020,Control and Systems Engineering (Q2); Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Theoretical Computer Science (Q3)
846,12100155655,Journal of Location Based Services,journal,"17489725, 17489733","0,365",Q2,24,9,34,575,108,33,3.87,63.89,United Kingdom,Western Europe,Taylor and Francis Ltd.,2007-2020,Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q3)
847,17963,International Journal of Circuit Theory and Applications,journal,"1097007X, 00989886","0,364",Q3,52,166,432,4797,907,401,2.09,28.9,United Kingdom,Western Europe,John Wiley and Sons Ltd,1973-2020,"Electrical and Electronic Engineering (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3); Electronic, Optical and Magnetic Materials (Q3)"
848,19700174917,International Journal of Telemedicine and Applications,journal,"16876415, 16876423","0,363",Q2,27,6,28,278,62,28,2.11,46.33,Egypt,Africa/Middle East,Hindawi Limited,2008-2020,Computer Networks and Communications (Q2); Health Informatics (Q3); Health Information Management (Q3); Medicine (miscellaneous) (Q3)
849,57844,Journal of Molecular Modeling,journal,"16102940, 09485023","0,363",Q3,69,354,1067,16985,1774,1066,1.73,47.98,Germany,Western Europe,Springer Verlag,1996-2020,Catalysis (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)
850,21101020042,Proceedings of the ACM on Programming Languages,journal,24751421,"0,362",Q3,7,234,1,13811,3,1,3,59.02,United States,Northern America,Association for Computing Machinery (ACM),2020,"Safety, Risk, Reliability and Quality (Q2); Software (Q3)"
851,21100829272,Electronics (Switzerland),journal,20799292,"0,360",Q2,36,2170,2097,84416,6323,2071,3.02,38.9,Switzerland,Western Europe,MDPI Multidisciplinary Digital Publishing Institute,2012-2020,Computer Networks and Communications (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q3); Signal Processing (Q3)
852,21100824667,Image Processing On Line,journal,21051232,"0,359",Q3,9,9,66,207,124,66,1.59,23,France,Western Europe,IPOL - Image Processing on Line,2017-2020,Signal Processing (Q3); Software (Q3)
853,35932,International Journal of Imaging Systems and Technology,journal,"10981098, 08999457","0,359",Q2,47,143,127,5556,322,126,2.12,38.85,United States,Northern America,John Wiley and Sons Inc.,"1989-1992, 1994-2020","Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q3); Software (Q3)"
854,4700152809,Data Science Journal,journal,16831470,"0,358",Q2,21,44,143,1288,189,140,1.18,29.27,France,Western Europe,Ubiquity Press,"2003, 2006-2020",Computer Science (miscellaneous) (Q2); Computer Science Applications (Q3)
855,21100198470,International Journal of Information Systems and Supply Chain Management,journal,"19355726, 19355734","0,357",Q3,14,21,60,907,93,60,1.39,43.19,United States,Northern America,The Information Resources Management Association (IRMA),2008-2020,Management Information Systems (Q2); Information Systems (Q3)
856,20013,Software Quality Journal,journal,"09639314, 15731367","0,356",Q3,43,71,152,3142,396,134,2.44,44.25,United States,Northern America,Springer New York,"1992-1999, 2001-2020","Media Technology (Q1); Safety, Risk, Reliability and Quality (Q2); Software (Q3)"
857,21100217640,ACM Transactions on Reconfigurable Technology and Systems,journal,"19367406, 19367414","0,355",Q2,28,24,73,1249,237,68,3.37,52.04,United States,Northern America,Association for Computing Machinery (ACM),2008-2020,Computer Science (miscellaneous) (Q2)
858,28456,Computational Geometry: Theory and Applications,journal,9257721,"0,355",Q3,58,50,131,1094,140,125,1.06,21.88,Netherlands,Western Europe,Elsevier,1991-2021,Computational Mathematics (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Control and Optimization (Q3); Geometry and Topology (Q3)
859,5300152202,IET Communications,journal,17518628,"0,355",Q3,62,464,1093,15113,2255,1088,2,32.57,United Kingdom,Western Europe,Institution of Engineering and Technology,2007-2020,Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)
860,21100442189,JALT CALL Journal,journal,18324215,"0,355",Q3,7,10,32,438,39,31,1,43.8,Japan,Asiatic Region,,2015-2020,Language and Linguistics (Q1); Linguistics and Language (Q1); Computer Science Applications (Q3); Education (Q3)
861,21100203114,Journal of Computer Networks and Communications,journal,"20907141, 2090715X","0,355",Q2,23,15,93,444,270,93,2.74,29.6,Egypt,Africa/Middle East,Hindawi Limited,2011-2020,Computer Networks and Communications (Q2); Information Systems (Q3)
862,17954,Computer Methods in Biomechanics and Biomedical Engineering,journal,"14768259, 10255842","0,354",Q3,58,221,487,8676,753,486,1.64,39.26,United Kingdom,Western Europe,Informa Healthcare,1997-2020,Bioengineering (Q3); Biomedical Engineering (Q3); Computer Science Applications (Q3); Human-Computer Interaction (Q3); Medicine (miscellaneous) (Q3)
863,21100773821,Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization,journal,"21681163, 21681171","0,354",Q3,18,117,188,3804,401,180,2.27,32.51,United Kingdom,Western Europe,Taylor and Francis Ltd.,2013-2020,"Computational Mechanics (Q2); Biomedical Engineering (Q3); Computer Science Applications (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
864,21100792082,"Vestnik Udmurtskogo Universiteta: Matematika, Mekhanika, Komp'yuternye Nauki",journal,"20765959, 19949197","0,354",Q2,8,34,139,656,77,139,0.58,19.29,Russian Federation,Eastern Europe,Udmurt State University,2016-2020,Computer Science (miscellaneous) (Q2); Fluid Flow and Transfer Processes (Q3); Mathematics (miscellaneous) (Q3)
865,23737,Computational Intelligence,journal,"08247935, 14678640","0,353",Q3,52,154,140,5600,335,138,2.81,36.36,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1985-2020,Artificial Intelligence (Q3); Computational Mathematics (Q3)
866,21101013582,IEEE Transactions on Games,journal,"24751510, 24751502","0,353",Q3,45,56,106,1792,427,101,4.47,32,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2018-2020,Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Artificial Intelligence (Q3); Software (Q3)
867,21100855506,International Journal of E-Planning Research,journal,"21609926, 21609918","0,353",Q3,6,16,47,893,66,47,1.47,55.81,United States,Northern America,IGI Global Publishing,2017-2020,"Geography, Planning and Development (Q2); Urban Studies (Q2); Computer Science Applications (Q3)"
868,19700181431,Journal of Decision Systems,journal,"21167052, 12460125","0,353",Q3,22,53,76,2695,145,73,2.11,50.85,United Kingdom,Western Europe,Taylor and Francis Ltd.,1992-2020,Management Information Systems (Q2); Software (Q3)
869,19700181204,OPSEARCH,journal,"00303887, 09750320","0,353",Q3,20,67,137,2414,237,136,1.6,36.03,India,Asiatic Region,Springer India,2009-2020,Management Information Systems (Q2); Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)
870,19053,Computational Economics,journal,"09277099, 15729974","0,352",Q3,40,166,313,6328,477,303,1.57,38.12,Netherlands,Western Europe,Springer Netherlands,1993-2020,"Economics, Econometrics and Finance (miscellaneous) (Q2); Computer Science Applications (Q3)"
871,21100901137,Journal of Statistical Distributions and Applications,journal,21955832,"0,352",Q3,14,10,47,286,60,47,1.05,28.6,Germany,Western Europe,Springer Open,"2014-2015, 2017-2020","Computer Science Applications (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)"
872,21100204505,Australasian Journal of Information Systems,journal,"14498618, 13262238","0,351",Q3,18,41,90,2403,166,83,2.32,58.61,Australia,Pacific Region,"UQ Business School, The University of Queensland","2007, 2009-2020","Business, Management and Accounting (miscellaneous) (Q2); Information Systems and Management (Q2); Human-Computer Interaction (Q3); Information Systems (Q3)"
873,19700177406,Dynamic Games and Applications,journal,"21530785, 21530793","0,351",Q2,24,57,130,2136,196,126,1.34,37.47,United States,Northern America,Springer Science + Business Media,2011-2020,Computer Graphics and Computer-Aided Design (Q2); Applied Mathematics (Q3); Computational Mathematics (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Economics and Econometrics (Q3); Statistics and Probability (Q3)
874,21100450131,Journal of Technology and Science Education,journal,"20145349, 20136374","0,351",Q3,9,24,102,913,202,100,1.86,38.04,Spain,Western Europe,OmniaScience,2014-2020,Computer Science Applications (Q3); Education (Q3)
875,13427,Bulletin of the Polish Academy of Sciences: Technical Sciences,journal,"23001917, 02397528","0,350",Q3,41,144,321,4481,621,318,1.76,31.12,Poland,Eastern Europe,Polish Academy of Sciences,"1983-1988, 1999-2000, 2002-2020","Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Atomic and Molecular Physics, and Optics (Q3); Computer Networks and Communications (Q3); Information Systems (Q3)"
876,21100286806,IEEE Design and Test,journal,21682356,"0,350",Q3,79,104,229,1558,436,192,1.44,14.98,United States,Northern America,IEEE Computer Society,2013-2020,Electrical and Electronic Engineering (Q2); Hardware and Architecture (Q3); Software (Q3)
877,19700175219,Iranian Journal of Fuzzy Systems,journal,17350654,"0,350",Q3,28,83,185,2768,318,185,1.66,33.35,Iran,Middle East,University of Sistan and Baluchestan,2004-2020,Information Systems and Management (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Mathematics (miscellaneous) (Q3)
878,28345,Journal of Functional Programming,journal,"14697653, 09567968","0,350",Q3,52,20,52,789,163,31,3.39,39.45,United Kingdom,Western Europe,Cambridge University Press,1991-2020,Software (Q3)
879,21100432047,Sovremennye Problemy Distantsionnogo Zondirovaniya Zemli iz Kosmosa,journal,"20707401, 24110280","0,350",Q3,13,180,492,3044,474,492,1.07,16.91,Russian Federation,Eastern Europe,Space Research Institute of the Russian Academy of Sciences,2015-2020,Computer Networks and Communications (Q3); Computer Science Applications (Q3); Computers in Earth Sciences (Q3)
880,147203,Design Journal,journal,14606925,"0,349",Q2,19,62,745,2197,565,705,0.55,35.44,United Kingdom,Western Europe,Taylor and Francis Ltd.,2005-2020,Arts and Humanities (miscellaneous) (Q2); Computer Graphics and Computer-Aided Design (Q2)
881,25518,IEEE Computer Graphics and Applications,journal,"15581756, 02721716","0,349",Q2,92,84,219,870,554,201,2.85,10.36,United States,Northern America,IEEE Computer Society,1981-2020,Computer Graphics and Computer-Aided Design (Q2); Software (Q3)
882,21100223111,Information (Switzerland),journal,20782489,"0,349",Q3,28,589,882,27290,2260,851,2.38,46.33,Switzerland,Western Europe,MDPI Multidisciplinary Digital Publishing Institute,2012-2020,Information Systems (Q3)
883,27728,Digital Investigation,journal,17422876,"0,348",Q3,53,0,222,0,698,204,3.12,0,United Kingdom,Western Europe,Elsevier Ltd.,2004-2019,Law (Q2); Computer Science Applications (Q3); Information Systems (Q3); Medical Laboratory Technology (Q3); Pathology and Forensic Medicine (Q3)
884,17700156101,Journal on Multimodal User Interfaces,journal,"17837677, 17838738","0,348",Q3,27,39,80,1812,186,76,2.09,46.46,Germany,Western Europe,Springer Verlag,2008-2020,Human-Computer Interaction (Q3); Signal Processing (Q3)
885,21100199795,Algorithms,journal,19994893,"0,346",Q3,34,328,606,14067,1492,596,2.27,42.89,Switzerland,Western Europe,MDPI AG,2008-2020,Computational Mathematics (Q3); Computational Theory and Mathematics (Q3); Numerical Analysis (Q3); Theoretical Computer Science (Q3)
886,19700174653,Mobile Information Systems,journal,"1875905X, 1574017X","0,346",Q3,34,115,408,4637,908,384,2.54,40.32,Egypt,Africa/Middle East,Hindawi Limited,2005-2020,Computer Networks and Communications (Q3); Computer Science Applications (Q3)
887,25626,Multimedia Systems,journal,"14321882, 09424962","0,346",Q3,59,85,154,3742,356,148,2.34,44.02,Germany,Western Europe,Springer Verlag,"1993-2000, 2002-2020",Media Technology (Q2); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Information Systems (Q3); Software (Q3)
888,19700175286,Evolving Systems,journal,"18686486, 18686478","0,345",Q3,27,67,118,2788,272,113,2.16,41.61,Germany,Western Europe,Springer Verlag,2010-2020,Control and Systems Engineering (Q2); Computer Science Applications (Q3); Control and Optimization (Q3); Modeling and Simulation (Q3)
889,21100897136,Karbala International Journal of Modern Science,journal,"24056103, 2405609X","0,345",Q2,17,47,105,1618,285,105,2.93,34.43,Iraq,Middle East,University of Kerbala,2015-2020,"Computer Science (miscellaneous) (Q2); Multidisciplinary (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)"
890,25028,Computers and Graphics,journal,978493,"0,344",Q2,70,115,382,4823,872,336,2.34,41.94,United Kingdom,Western Europe,Elsevier Ltd.,"1975-1980, 1982-2020",Computer Graphics and Computer-Aided Design (Q2); Computer Vision and Pattern Recognition (Q2); Engineering (miscellaneous) (Q2); Human-Computer Interaction (Q3); Signal Processing (Q3); Software (Q3)
891,17964,International Journal of Communication Systems,journal,"10991131, 10745351","0,344",Q3,49,433,940,16559,1987,933,2.29,38.24,United Kingdom,Western Europe,John Wiley and Sons Ltd,1994-2020,Electrical and Electronic Engineering (Q2); Computer Networks and Communications (Q3)
892,145326,International Journal of Information Security,journal,"16155270, 16155262","0,344",Q3,43,71,121,2987,304,120,2.42,42.07,Germany,Western Europe,Springer Verlag,2005-2020,"Safety, Risk, Reliability and Quality (Q2); Computer Networks and Communications (Q3); Information Systems (Q3); Software (Q3)"
893,12213,ACM Transactions on Computer Systems,journal,"07342071, 15577333","0,343",Q2,70,6,22,227,64,22,4.27,37.83,United States,Northern America,Association for Computing Machinery (ACM),1983-2020,Computer Science (miscellaneous) (Q2)
894,23616,AI and Society,journal,"09515666, 14355655","0,343",Q3,29,186,203,8089,327,167,1.61,43.49,United Kingdom,Western Europe,Springer London,"1987-1996, 1998-2020",Philosophy (Q1); Artificial Intelligence (Q3); Human-Computer Interaction (Q3)
895,20948,Jixie Gongcheng Xuebao/Chinese Journal of Mechanical Engineering,journal,5776686,"0,342",Q3,50,621,1873,16609,2206,1873,1.06,26.75,China,Asiatic Region,Editorial Office of Chinese Journal of Mechanical Engineering,"1981-1990, 1996-2020",Applied Mathematics (Q3); Computer Science Applications (Q3); Mechanical Engineering (Q3)
896,21101019334,Journal of Business Analytics,journal,"2573234X, 25732358","0,342",Q3,4,14,22,595,39,21,1.77,42.5,United Kingdom,Western Europe,Taylor and Francis Ltd.,2018-2020,Industrial and Manufacturing Engineering (Q2); Information Systems (Q3); Management Information Systems (Q3)
897,17700155804,Journal of E-Learning and Knowledge Society,journal,"18266223, 19718829","0,342",Q3,16,41,110,1494,146,101,0.97,36.44,Italy,Western Europe,Italian e-Learning Association,"2006, 2009-2020",Computer Science Applications (Q3); Education (Q3); E-learning (Q3)
898,98245,Library Resources and Technical Services,journal,242527,"0,342",Q3,24,8,61,218,23,50,0.44,27.25,United States,Northern America,American Library Association,"1978-1979, 1981-1984, 1988-2020",Library and Information Sciences (Q2); Information Systems (Q3)
899,25566,Zidonghua Xuebao/Acta Automatica Sinica,journal,"18741029, 02544156","0,342",Q2,59,216,604,9283,1269,604,1.86,42.98,China,Asiatic Region,Science Press,"1980, 1993-2020",Computer Graphics and Computer-Aided Design (Q2); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3)
900,28642,CMES - Computer Modeling in Engineering and Sciences,journal,"15261492, 15261506","0,341",Q3,60,234,265,8786,413,263,1.61,37.55,United States,Northern America,Tech Science Press,2000-2020,Computer Science Applications (Q3); Modeling and Simulation (Q3); Software (Q3)
901,5200152707,Eurasip Journal on Image and Video Processing,journal,"16875281, 16875176","0,341",Q3,40,51,321,2159,873,320,2.5,42.33,United States,Northern America,Springer Publishing Company,2007-2020,Electrical and Electronic Engineering (Q2); Information Systems (Q3); Signal Processing (Q3)
902,21100901206,IAES International Journal of Artificial Intelligence,journal,"20894872, 22528938","0,341",Q3,7,92,76,2759,179,75,2.36,29.99,Indonesia,Asiatic Region,Institute of Advanced Engineering and Science (IAES),2018-2020,Electrical and Electronic Engineering (Q2); Information Systems and Management (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3)
903,5900152897,Journal of Design Research,journal,"17483050, 15691551","0,341",Q2,20,5,40,287,29,40,0.63,57.4,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,"2006-2007, 2010-2014, 2019",Computer Graphics and Computer-Aided Design (Q2); Engineering (miscellaneous) (Q2)
904,26644,Concurrent Engineering Research and Applications,journal,"15312003, 1063293X","0,340",Q3,42,28,82,1249,120,78,1.29,44.61,United Kingdom,Western Europe,SAGE Publications Ltd,1993-2020,Engineering (miscellaneous) (Q2); Computer Science Applications (Q3); Modeling and Simulation (Q3)
905,144972,Design Issues,journal,7479360,"0,340",Q2,33,25,104,250,81,75,0.69,10,United States,Northern America,MIT Press Journals,2005-2020,Arts and Humanities (miscellaneous) (Q2); Computer Graphics and Computer-Aided Design (Q2)
906,29556,Journal of Bioinformatics and Computational Biology,journal,"02197200, 17576334","0,339",Q3,43,54,178,1936,208,168,1.08,35.85,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2003-2020,Computer Science Applications (Q3); Biochemistry (Q4); Molecular Biology (Q4)
907,21100369411,"Bulletin of the South Ural State University, Series: Mathematical Modelling, Programming and Computer Software",journal,"20710216, 23080256","0,338",Q3,11,39,162,636,140,161,0.86,16.31,Russian Federation,Eastern Europe,South Ural State University,2014-2020,Computational Mathematics (Q3); Computational Theory and Mathematics (Q3); Modeling and Simulation (Q3); Software (Q3)
908,21100788924,"African Journal of Research in Mathematics, Science and Technology Education",journal,"18117295, 24697656","0,337",Q3,15,36,94,1119,74,94,0.63,31.08,United Kingdom,Western Europe,Taylor and Francis Ltd.,1997-2020,Engineering (miscellaneous) (Q2); Computer Science Applications (Q3); Education (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)
909,23617,AI Communications,journal,9217126,"0,337",Q3,40,13,79,687,177,77,1.38,52.85,Netherlands,Western Europe,IOS Press,1987-2020,Artificial Intelligence (Q3)
910,21100935763,Health Systems,journal,"20476973, 20476965","0,337",Q3,13,36,58,2050,90,57,1.63,56.94,United States,Northern America,Taylor and Francis Inc.,2012-2020,Computer Science Applications (Q3); Health Informatics (Q3); Health Information Management (Q3); Health Policy (Q3)
911,21100818504,Journal of Medical Signals and Sensors,journal,22287477,"0,337",Q2,21,32,96,1086,180,96,1.64,33.94,India,Asiatic Region,Wolters Kluwer Medknow Publications,2011-2020,"Computer Science (miscellaneous) (Q2); Biomedical Engineering (Q3); Health Informatics (Q3); Radiological and Ultrasound Technology (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
912,12409,Multidimensional Systems and Signal Processing,journal,"15730824, 09236082","0,337",Q3,39,76,287,2766,619,285,2.1,36.39,Netherlands,Western Europe,Springer Netherlands,1990-2020,Applied Mathematics (Q3); Artificial Intelligence (Q3); Computer Science Applications (Q3); Hardware and Architecture (Q3); Information Systems (Q3); Signal Processing (Q3); Software (Q3)
913,23673,Applied Artificial Intelligence,journal,"10876545, 08839514","0,336",Q3,58,57,159,2059,373,157,2,36.12,United Kingdom,Western Europe,Taylor and Francis Ltd.,1987-2020,Artificial Intelligence (Q3)
914,21100803571,"Digital Policy, Regulation and Governance",journal,23985038,"0,336",Q3,29,27,112,1602,202,99,2.01,59.33,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,2017-2020,Information Systems and Management (Q2); Computer Networks and Communications (Q3); Information Systems (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)
915,21100283367,International Journal of Prognostics and Health Management,journal,21532648,"0,336",Q2,21,16,62,654,118,61,1.63,40.88,United States,Northern America,,2010-2020,"Computer Science (miscellaneous) (Q2); Safety, Risk, Reliability and Quality (Q2); Civil and Structural Engineering (Q3); Energy Engineering and Power Technology (Q3); Mechanical Engineering (Q3)"
916,24596,Cluster Computing,journal,13867857,"0,335",Q3,50,260,1931,11719,3843,1918,1.88,45.07,Netherlands,Western Europe,Kluwer Academic Publishers,2005-2020,Computer Networks and Communications (Q3); Software (Q3)
917,18201,International Journal of RF and Microwave Computer-Aided Engineering,journal,"1099047X, 10964290","0,335",Q2,39,458,795,12629,1482,790,1.91,27.57,United States,Northern America,John Wiley and Sons Inc.,1996-2020,Computer Graphics and Computer-Aided Design (Q2); Electrical and Electronic Engineering (Q2); Computer Science Applications (Q3)
918,12262,Formal Methods in System Design,journal,"15728102, 09259856","0,334",Q3,54,12,80,566,203,75,1.48,47.17,Netherlands,Western Europe,Springer Netherlands,1992-2020,Hardware and Architecture (Q3); Software (Q3); Theoretical Computer Science (Q3)
919,21100788266,Biomedical Physics and Engineering Express,journal,20571976,"0,333",Q3,16,209,522,8712,732,522,1.39,41.68,United Kingdom,Western Europe,IOP Publishing Ltd.,2015-2020,"Bioengineering (Q3); Biomedical Engineering (Q3); Biophysics (Q3); Computer Science Applications (Q3); Health Informatics (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Biomaterials (Q4); Physiology (Q4)"
920,24326,"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",journal,2184885,"0,333",Q3,59,65,182,2167,275,174,1.51,33.34,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1996-2020,Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3)
921,12961,Journal of Computer and Systems Sciences International,journal,"10642307, 15556530","0,333",Q3,21,76,247,1695,258,247,1.11,22.3,United States,Northern America,Pleiades Publishing,1993-2020,Applied Mathematics (Q3); Computer Networks and Communications (Q3); Computer Vision and Pattern Recognition (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)
922,21100944565,Izvestiya Instituta Matematiki i Informatiki Udmurtskogo Gosudarstvennogo Universiteta,journal,"22263594, 24101737","0,332",Q3,3,20,21,426,19,21,0.9,21.3,Russian Federation,Eastern Europe,Udmurt State University,2019,Computational Theory and Mathematics (Q3); Mathematics (miscellaneous) (Q3)
